Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2000","2000","t","3.6","A","Official figure",""
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2000","2000","1000 USD","8","A","Official figure",""
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2001","2001","t","2400","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2001","2001","1000 USD","1150","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2002","2002","t","2","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2002","2002","1000 USD","1","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2003","2003","t","1600","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2003","2003","1000 USD","890","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2004","2004","t","9","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2004","2004","1000 USD","8","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2005","2005","t","1701","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2005","2005","1000 USD","964","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2006","2006","t","1321","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2006","2006","1000 USD","587","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2007","2007","t","89","A","Official figure",""
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2007","2007","1000 USD","86","A","Official figure",""
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2008","2008","t","59","A","Official figure",""
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2008","2008","1000 USD","68","A","Official figure",""
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2009","2009","t","97","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2009","2009","1000 USD","116","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2010","2010","t","38","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2010","2010","1000 USD","69","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2011","2011","t","38","E","Estimated value",""
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2011","2011","1000 USD","69","E","Estimated value",""
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2012","2012","t","182","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2012","2012","1000 USD","331","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2013","2013","t","182","E","Estimated value",""
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2013","2013","1000 USD","331","E","Estimated value",""
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2014","2014","t","4660.47","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2014","2014","1000 USD","2062","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","01701","Beans, dry","2014","2014","t","695.32","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","01701","Beans, dry","2014","2014","1000 USD","500","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2015","2015","t","2395.72","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2015","2015","1000 USD","1034","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","01701","Beans, dry","2015","2015","t","1048.54","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","01701","Beans, dry","2015","2015","1000 USD","814","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2016","2016","t","2986.05","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2016","2016","1000 USD","1166","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","01701","Beans, dry","2016","2016","t","989.04","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","01701","Beans, dry","2016","2016","1000 USD","843","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2017","2017","t","599","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2017","2017","1000 USD","494","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","01701","Beans, dry","2017","2017","t","821.79","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","01701","Beans, dry","2017","2017","1000 USD","906","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2018","2018","t","3871","A","Official figure",""
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2018","2018","1000 USD","3594","A","Official figure",""
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","01701","Beans, dry","2018","2018","t","1340.54","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","01701","Beans, dry","2018","2018","1000 USD","3300","E","Estimated value",""
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2019","2019","t","9270.79","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2019","2019","1000 USD","3355","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","01701","Beans, dry","2019","2019","t","1411.78","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","01701","Beans, dry","2019","2019","1000 USD","1316","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2020","2020","t","7495.61","X","Figure from external organization","Estimated data using trading partners database"
