commodity,state,best_model,best_avg_MAPE,best_H1_MAPE,MAE,RMSE
Beans (white),Borno,SARIMA,25.59,25.59,877.75,1312.23
Beans (white),Yobe,Prophet,28.463608619217013,21.969099586791398,855.3522434624617,1168.688670189312
Rice (imported),Adamawa,Prophet,25.520257845443485,14.772717970264097,987.6117576909792,1388.308181780793
Rice (imported),Borno,Prophet,14.73175415463465,9.5564874607879,629.307468537257,885.2655405049926
Rice (imported),Yobe,Prophet,18.088443848384028,15.659693704521096,717.2887234137926,847.4912538418865
Rice (local),Adamawa,XGBoost,30.85753793484467,31.15146077257777,1045.386340060764,1353.4565078472688
Rice (local),Borno,Prophet,25.598986984394212,26.38484173254272,784.206720420818,867.2878925253225
Rice (local),Yobe,Prophet,18.412885460477607,12.620795398881333,514.3713084879156,585.4960030891231
Tomatoes,Borno,Prophet,31.191538748768963,32.88620895918356,74.49163254728984,114.29541270852502
Tomatoes,Yobe,Prophet,34.40714723004196,22.54675364687113,65.2825815830159,90.5806571932988
Yam,Adamawa,XGBoost,21.71080156823832,17.218286153353883,382.395758282697,478.69641567532113
Yam,Borno,Prophet,30.268163893700024,31.976984496747264,760.392049295777,1042.9423286465033
Yam,Yobe,Prophet,26.61829669176159,21.92375155417363,611.1606420639653,729.9182896742051
