commodity,state,date,horizon,actual,predicted,error_pct
Rice (imported),Adamawa,2023-06-01,1,2049.999999999999,1891.9058754319778,7.711908515513234
Rice (imported),Adamawa,2023-07-01,2,2210.4849999999997,1987.4443737640756,10.09012168080417
Rice (imported),Adamawa,2023-08-01,3,2585.0,2041.7365650367435,21.015993615599864
Rice (imported),Adamawa,2023-09-01,1,2636.1100000000006,2944.319652287031,11.691835784054176
Rice (imported),Adamawa,2023-10-01,2,2699.1949999999997,3367.4017976330247,24.7557808025365
Rice (imported),Adamawa,2023-11-01,3,2688.3300000000004,3345.3447382116688,24.43951219573744
Rice (imported),Adamawa,2023-12-01,1,3237.500000000001,2430.8959888365953,24.914409611224876
Rice (imported),Adamawa,2024-09-01,2,5000.000000000003,2456.207219628155,50.875855607436925
Rice (imported),Adamawa,2024-10-01,3,5500.000000000004,2519.720346215371,54.18690279608419
Rice (local),Adamawa,2023-06-01,1,1750.0000000000002,302.8003320000771,82.69712388570987
Rice (local),Adamawa,2023-07-01,2,1829.03,1387.5940027459521,24.13497849975385
Rice (local),Adamawa,2023-08-01,3,2226.875,1454.2528665473762,34.69535261083912
Rice (local),Adamawa,2023-09-01,1,2228.6999999999994,2086.2141532556393,6.393226847236511
Rice (local),Adamawa,2023-10-01,2,1732.2600000000004,2286.432996773309,31.991329059916424
Rice (local),Adamawa,2023-12-01,3,1993.5050000000008,2541.7612739667074,27.502126855297902
Rice (local),Adamawa,2024-09-01,1,4250.000000000002,684.88511430574,83.88505613398259
Rice (local),Adamawa,2024-10-01,2,4000.0000000000014,2286.330883000262,42.841727924993464
Rice (local),Adamawa,2024-11-01,3,3477.780000000001,1760.9750082773685,49.364968218881934
Yam,Adamawa,2023-06-01,1,1399.9999999999995,2940.6796886580805,110.04854918986295
Yam,Adamawa,2023-07-01,2,1454.8349999999996,2806.1697365038035,92.8857730604367
Yam,Adamawa,2023-08-01,3,1485.0,6306.463359638502,324.677667315724
Yam,Adamawa,2023-09-01,1,1288.8899999999996,1499.6425815921232,16.35147930328605
Yam,Adamawa,2023-10-01,2,1196.775,1934.818441661735,61.66935653416348
Yam,Adamawa,2023-11-01,3,1331.705,2109.6092804941763,58.414159329143956
Yam,Adamawa,2023-12-01,1,1500.3700000000003,1246.1874158352293,16.941326750386303
Yam,Adamawa,2024-09-01,2,2525.0000000000005,1182.3674830908767,53.173565026103894
