model,commodity,state,RMSE,MAPE,MAE
SARIMA,Rice (imported),Adamawa,1630.12,35.49,1299.53
SARIMA,Rice (local),Adamawa,1514.18,35.43,1158.79
SARIMA,Yam,Adamawa,2397.8,144.77,2313.85
SARIMA,Beans (white),Borno,1312.23,25.59,877.75
SARIMA,Rice (imported),Borno,2302.09,39.67,1939.11
SARIMA,Rice (local),Borno,2114.56,53.97,1894.39
SARIMA,Tomatoes,Borno,152.82,52.02,119.72
SARIMA,Yam,Borno,1972.34,64.36,1538.38
SARIMA,Beans (white),Yobe,1546.71,36.56,1247.91
SARIMA,Rice (imported),Yobe,2753.09,55.81,2505.01
SARIMA,Rice (local),Yobe,1634.91,45.59,1475.13
SARIMA,Tomatoes,Yobe,126.34,50.79,105.01
SARIMA,Yam,Yobe,1623.02,56.53,1445.54
