commodity,state,date,horizon,actual,predicted,error_pct
Beans (white),Borno,2023-06-01,1,1286.4,1326.84,3.14
Beans (white),Borno,2023-07-01,1,1319.07,1326.84,0.59
Beans (white),Borno,2023-08-01,1,1446.47,1326.84,8.27
Beans (white),Borno,2023-09-01,1,1572.62,1326.84,15.63
Beans (white),Borno,2023-10-01,1,1678.55,1326.84,20.95
Beans (white),Borno,2023-11-01,1,1630.49,1326.84,18.62
Beans (white),Borno,2023-12-01,1,1700.0,1282.91,24.53
Beans (white),Borno,2024-01-01,1,2440.75,1214.53,50.24
Beans (white),Borno,2024-02-01,1,2342.86,1243.03,46.94
Beans (white),Borno,2024-03-01,1,2871.08,1206.83,57.97
Beans (white),Borno,2024-05-01,1,4396.67,1206.83,72.55
Beans (white),Borno,2024-06-01,1,4589.32,1206.83,73.7
Beans (white),Borno,2024-08-01,1,5766.67,1206.83,79.07
Beans (white),Borno,2024-09-01,1,5646.19,1206.83,78.63
Beans (white),Borno,2024-10-01,1,3921.46,1197.02,69.48
Beans (white),Borno,2024-11-01,1,3096.3,1206.83,61.02
Beans (white),Borno,2024-12-01,1,3293.93,1206.83,63.36
Beans (white),Borno,2023-07-01,2,1319.07,1335.14,1.22
Beans (white),Borno,2023-08-01,2,1446.47,1305.56,9.74
Beans (white),Borno,2023-09-01,2,1572.62,1284.24,18.34
Beans (white),Borno,2023-10-01,2,1678.55,1305.56,22.22
Beans (white),Borno,2023-11-01,2,1630.49,1305.56,19.93
Beans (white),Borno,2023-12-01,2,1700.0,1277.03,24.88
Beans (white),Borno,2024-01-01,2,2440.75,1203.78,50.68
Beans (white),Borno,2024-02-01,2,2342.86,1256.0,46.39
Beans (white),Borno,2024-03-01,2,2871.08,1184.26,58.75
Beans (white),Borno,2024-05-01,2,4396.67,1180.12,73.16
Beans (white),Borno,2024-06-01,2,4589.32,1184.26,74.2
Beans (white),Borno,2024-08-01,2,5766.67,1184.26,79.46
Beans (white),Borno,2024-09-01,2,5646.19,1184.26,79.03
Beans (white),Borno,2024-10-01,2,3921.46,1184.26,69.8
Beans (white),Borno,2024-11-01,2,3096.3,1181.86,61.83
Beans (white),Borno,2024-12-01,2,3293.93,1180.12,64.17
Beans (white),Borno,2023-08-01,3,1446.47,1356.28,6.24
Beans (white),Borno,2023-09-01,3,1572.62,1356.28,13.76
Beans (white),Borno,2023-10-01,3,1678.55,1307.92,22.08
Beans (white),Borno,2023-11-01,3,1630.49,1312.95,19.47
Beans (white),Borno,2023-12-01,3,1700.0,1304.45,23.27
Beans (white),Borno,2024-01-01,3,2440.75,1225.52,49.79
Beans (white),Borno,2024-02-01,3,2342.86,1248.05,46.73
Beans (white),Borno,2024-03-01,3,2871.08,1225.52,57.31
Beans (white),Borno,2024-05-01,3,4396.67,1307.7,70.26
