commodity,state,horizon,feature,importance
Beans (white),Borno,1,price_lag1,0.07226388
Beans (white),Borno,1,price_lag2,0.0058125937
Beans (white),Borno,1,price_lag3,0.009959291
Beans (white),Borno,1,exchange_rate_ngn_usd,0.13083215
Beans (white),Borno,1,inflation_rate_pct,0.2889362
Beans (white),Borno,1,pms_price_ngn,0.03692608
Beans (white),Borno,1,rainfall_mm,0.005317531
Beans (white),Borno,1,log_import_volume,0.41206005
Beans (white),Borno,1,other_commodity_avg_price,0.015149935
Beans (white),Borno,1,conflict_score_weighted,0.010201796
Beans (white),Borno,1,conflict_fatalities,0.0067157126
Beans (white),Borno,1,harvest_season,0.005824779
Beans (white),Borno,1,subsidy_removed,0.0
Beans (white),Borno,1,state_encoded,0.0
Beans (white),Borno,1,commodity_encoded,0.0
Beans (white),Borno,2,price_lag1,0.01964899
Beans (white),Borno,2,price_lag2,0.008960222
Beans (white),Borno,2,price_lag3,0.014972193
Beans (white),Borno,2,exchange_rate_ngn_usd,0.15438573
Beans (white),Borno,2,inflation_rate_pct,0.23871179
Beans (white),Borno,2,pms_price_ngn,0.013690028
Beans (white),Borno,2,rainfall_mm,0.001963253
Beans (white),Borno,2,log_import_volume,0.502488
Beans (white),Borno,2,other_commodity_avg_price,0.012123165
Beans (white),Borno,2,conflict_score_weighted,0.0232961
Beans (white),Borno,2,conflict_fatalities,0.009760363
Beans (white),Borno,2,harvest_season,0.0
Beans (white),Borno,2,subsidy_removed,0.0
Beans (white),Borno,2,state_encoded,0.0
Beans (white),Borno,2,commodity_encoded,0.0
Beans (white),Borno,3,price_lag1,0.020097075
Beans (white),Borno,3,price_lag2,0.0075015556
Beans (white),Borno,3,price_lag3,0.023269964
Beans (white),Borno,3,exchange_rate_ngn_usd,0.121280916
Beans (white),Borno,3,inflation_rate_pct,0.2635143
Beans (white),Borno,3,pms_price_ngn,0.023421235
Beans (white),Borno,3,rainfall_mm,0.011332147
Beans (white),Borno,3,log_import_volume,0.5004298
Beans (white),Borno,3,other_commodity_avg_price,0.016918868
Beans (white),Borno,3,conflict_score_weighted,0.004360073
Beans (white),Borno,3,conflict_fatalities,0.0064474945
Beans (white),Borno,3,harvest_season,0.0014266007
Beans (white),Borno,3,subsidy_removed,0.0
Beans (white),Borno,3,state_encoded,0.0
Beans (white),Borno,3,commodity_encoded,0.0
Beans (white),Yobe,1,price_lag1,0.3039906
Beans (white),Yobe,1,price_lag2,0.034742795
Beans (white),Yobe,1,price_lag3,0.057802074
Beans (white),Yobe,1,exchange_rate_ngn_usd,0.01811148
Beans (white),Yobe,1,inflation_rate_pct,0.04846785
Beans (white),Yobe,1,pms_price_ngn,0.036975417
Beans (white),Yobe,1,rainfall_mm,0.007855712
Beans (white),Yobe,1,log_import_volume,0.3208798
Beans (white),Yobe,1,other_commodity_avg_price,0.05454787
Beans (white),Yobe,1,conflict_score_weighted,0.026180182
Beans (white),Yobe,1,conflict_fatalities,0.071799144
Beans (white),Yobe,1,harvest_season,0.018647106
Beans (white),Yobe,1,subsidy_removed,0.0
Beans (white),Yobe,1,state_encoded,0.0
Beans (white),Yobe,1,commodity_encoded,0.0
Beans (white),Yobe,2,price_lag1,0.30627978
Beans (white),Yobe,2,price_lag2,0.03932588
Beans (white),Yobe,2,price_lag3,0.06763909
Beans (white),Yobe,2,exchange_rate_ngn_usd,0.044430174
Beans (white),Yobe,2,inflation_rate_pct,0.06885542
Beans (white),Yobe,2,pms_price_ngn,0.058969203
Beans (white),Yobe,2,rainfall_mm,0.0184336
Beans (white),Yobe,2,log_import_volume,0.2663348
Beans (white),Yobe,2,other_commodity_avg_price,0.041189782
Beans (white),Yobe,2,conflict_score_weighted,0.04173888
Beans (white),Yobe,2,conflict_fatalities,0.03920947
Beans (white),Yobe,2,harvest_season,0.00759388
Beans (white),Yobe,2,subsidy_removed,0.0
Beans (white),Yobe,2,state_encoded,0.0
Beans (white),Yobe,2,commodity_encoded,0.0
Beans (white),Yobe,3,price_lag1,0.28413218
Beans (white),Yobe,3,price_lag2,0.12531725
Beans (white),Yobe,3,price_lag3,0.083349034
Beans (white),Yobe,3,exchange_rate_ngn_usd,0.047323138
Beans (white),Yobe,3,inflation_rate_pct,0.08848302
Beans (white),Yobe,3,pms_price_ngn,0.051970534
Beans (white),Yobe,3,rainfall_mm,0.04084446
Beans (white),Yobe,3,log_import_volume,0.13831457
Beans (white),Yobe,3,other_commodity_avg_price,0.07465352
Beans (white),Yobe,3,conflict_score_weighted,0.039661247
Beans (white),Yobe,3,conflict_fatalities,0.010701109
Beans (white),Yobe,3,harvest_season,0.015249911
Beans (white),Yobe,3,subsidy_removed,0.0
Beans (white),Yobe,3,state_encoded,0.0
Beans (white),Yobe,3,commodity_encoded,0.0
Rice (imported),Adamawa,1,price_lag1,0.35875562
Rice (imported),Adamawa,1,price_lag2,0.2399995
Rice (imported),Adamawa,1,price_lag3,0.009773322
Rice (imported),Adamawa,1,exchange_rate_ngn_usd,0.06651692
Rice (imported),Adamawa,1,inflation_rate_pct,0.24790652
Rice (imported),Adamawa,1,pms_price_ngn,0.0028966318
Rice (imported),Adamawa,1,rainfall_mm,0.0281323
Rice (imported),Adamawa,1,log_import_volume,0.0027380146
Rice (imported),Adamawa,1,other_commodity_avg_price,0.019017238
Rice (imported),Adamawa,1,conflict_score_weighted,0.011637555
