state,date,total_events,conflict_score,fatalities
Abia,2017-02-01,1,1,0
Abia,2017-03-01,5,15,2
Abia,2017-04-01,2,2,0
Abia,2017-05-01,1,1,0
Abia,2017-06-01,1,5,3
Abia,2017-08-01,1,1,0
Abia,2017-09-01,14,48,213
Abia,2017-10-01,1,4,6
Abia,2018-02-01,1,4,0
Abia,2018-03-01,2,8,0
Abia,2018-04-01,5,17,14
Abia,2018-05-01,4,12,12
Abia,2018-06-01,1,5,3
Abia,2018-07-01,2,5,10
Abia,2018-08-01,6,18,28
Abia,2018-09-01,2,5,10
Abia,2018-10-01,1,3,0
Abia,2018-11-01,1,1,0
Abia,2018-12-01,1,1,0
Abia,2019-01-01,4,10,0
Abia,2019-02-01,3,9,0
Abia,2019-04-01,1,1,0
Abia,2019-05-01,1,1,0
Abia,2019-06-01,7,12,1
Abia,2019-08-01,5,10,1
Abia,2019-09-01,1,1,0
Abia,2019-10-01,3,3,0
Abia,2019-12-01,1,4,0
Abia,2020-01-01,4,8,2
Abia,2020-02-01,6,9,2
Abia,2020-03-01,1,4,0
Abia,2020-04-01,11,41,6
Abia,2020-05-01,5,22,0
Abia,2020-06-01,3,7,4
Abia,2020-07-01,4,13,1
Abia,2020-08-01,4,9,1
Abia,2020-09-01,10,31,9
Abia,2020-10-01,10,26,5
Abia,2020-11-01,1,5,4
Abia,2020-12-01,3,12,0
Abia,2021-01-01,5,18,3
Abia,2021-02-01,3,7,6
Abia,2021-03-01,8,33,6
Abia,2021-04-01,3,13,2
Abia,2021-05-01,13,47,8
Abia,2021-06-01,6,22,10
Abia,2021-07-01,1,1,0
Abia,2021-08-01,7,25,2
Abia,2021-09-01,5,15,1
Abia,2021-10-01,9,33,6
Abia,2021-11-01,3,6,1
Abia,2021-12-01,2,9,1
Abia,2022-01-01,9,30,7
Abia,2022-02-01,6,19,12
Abia,2022-03-01,2,8,3
Abia,2022-04-01,10,29,14
Abia,2022-05-01,6,15,1
Abia,2022-06-01,5,11,0
Abia,2022-07-01,10,28,7
Abia,2022-08-01,8,29,45
Abia,2022-09-01,4,17,0
Abia,2022-10-01,13,30,2
Abia,2022-11-01,6,19,3
Abia,2022-12-01,4,10,0
Abia,2023-01-01,7,14,4
Abia,2023-02-01,10,33,9
Abia,2023-03-01,6,9,6
Abia,2023-04-01,2,10,4
Abia,2023-05-01,3,12,3
Abia,2023-06-01,3,13,3
Abia,2023-07-01,5,15,2
Abia,2023-08-01,3,3,0
Abia,2023-09-01,9,23,5
Abia,2023-10-01,5,13,3
Abia,2023-11-01,1,1,0
Abia,2023-12-01,4,4,0
Abia,2024-01-01,4,10,0
Abia,2024-02-01,4,9,1
Abia,2024-03-01,7,15,1
Abia,2024-04-01,4,12,2
Abia,2024-05-01,11,37,12
Abia,2024-06-01,16,52,10
Abia,2024-07-01,19,67,12
Abia,2024-08-01,8,39,6
Abia,2024-09-01,7,33,7
Abia,2024-10-01,8,30,17
Abia,2024-11-01,16,61,13
Abia,2024-12-01,3,11,2
Adamawa,2017-01-01,8,37,45
Adamawa,2017-06-01,5,24,4
Adamawa,2017-07-01,3,14,11
Adamawa,2017-08-01,8,22,13
Adamawa,2017-09-01,1,4,1
Adamawa,2017-10-01,4,16,8
Adamawa,2017-11-01,12,55,150
Adamawa,2017-12-01,6,22,37
Adamawa,2018-01-01,11,51,72
Adamawa,2018-02-01,12,47,49
Adamawa,2018-03-01,5,9,5
Adamawa,2018-04-01,3,13,35
Adamawa,2018-05-01,4,19,24
Adamawa,2018-06-01,7,31,28
Adamawa,2018-07-01,17,65,78
Adamawa,2018-08-01,4,18,15
Adamawa,2018-09-01,5,20,18
Adamawa,2018-10-01,5,21,6
Adamawa,2018-11-01,2,8,3
Adamawa,2018-12-01,1,1,0
Adamawa,2019-01-01,2,8,0
Adamawa,2019-02-01,12,50,24
Adamawa,2019-03-01,3,7,18
Adamawa,2019-04-01,8,29,51
Adamawa,2019-05-01,6,17,5
Adamawa,2019-06-01,4,14,22
Adamawa,2019-07-01,2,8,1
Adamawa,2019-09-01,10,24,4
Adamawa,2019-10-01,1,4,0
Adamawa,2019-11-01,7,30,14
Adamawa,2019-12-01,11,49,9
Adamawa,2020-01-01,7,28,3
Adamawa,2020-02-01,10,31,7
Adamawa,2020-03-01,4,18,5
Adamawa,2020-04-01,6,22,7
Adamawa,2020-05-01,11,43,25
Adamawa,2020-06-01,14,59,40
Adamawa,2020-07-01,6,19,11
Adamawa,2020-08-01,3,6,0
Adamawa,2020-09-01,2,2,0
Adamawa,2020-10-01,7,23,4
Adamawa,2020-11-01,2,8,0
Adamawa,2020-12-01,5,21,10
Adamawa,2021-01-01,2,8,0
Adamawa,2021-02-01,1,3,1
Adamawa,2021-03-01,1,5,0
Adamawa,2021-04-01,4,17,35
Adamawa,2021-05-01,4,17,1
Adamawa,2021-06-01,1,5,1
Adamawa,2021-07-01,6,22,74
Adamawa,2021-08-01,2,5,1
Adamawa,2021-09-01,5,11,18
Adamawa,2021-10-01,4,13,7
Adamawa,2021-11-01,2,7,0
Adamawa,2021-12-01,10,44,22
Adamawa,2022-01-01,8,33,6
Adamawa,2022-02-01,4,7,1
Adamawa,2022-04-01,1,1,0
Adamawa,2022-05-01,5,19,8
Adamawa,2022-06-01,6,24,8
Adamawa,2022-07-01,10,36,10
Adamawa,2022-08-01,1,4,1
Adamawa,2022-09-01,6,23,2
Adamawa,2022-10-01,2,5,1
Adamawa,2022-11-01,1,5,2
Adamawa,2022-12-01,5,22,6
Adamawa,2023-01-01,4,16,2
Adamawa,2023-02-01,2,4,1
Adamawa,2023-03-01,1,3,0
Adamawa,2023-04-01,9,25,6
Adamawa,2023-05-01,2,9,1
Adamawa,2023-06-01,4,12,6
Adamawa,2023-07-01,4,9,4
Adamawa,2023-08-01,4,13,2
Adamawa,2023-09-01,6,28,6
Adamawa,2023-10-01,3,12,2
Adamawa,2023-11-01,4,15,10
Adamawa,2023-12-01,4,17,5
Adamawa,2024-01-01,7,24,12
Adamawa,2024-02-01,5,19,2
Adamawa,2024-03-01,6,26,9
Adamawa,2024-04-01,2,2,0
Adamawa,2024-05-01,7,22,1
Adamawa,2024-06-01,2,8,1
Adamawa,2024-07-01,2,6,1
Adamawa,2024-08-01,5,17,7
Adamawa,2024-09-01,3,8,3
Adamawa,2024-10-01,3,7,5
Adamawa,2024-11-01,3,11,2
Adamawa,2024-12-01,6,25,0
Borno,2017-01-01,35,159,446
Borno,2017-02-01,30,145,207
Borno,2017-03-01,31,142,122
Borno,2017-04-01,32,148,140
Borno,2017-05-01,19,87,73
Borno,2017-06-01,12,58,84
Borno,2017-07-01,34,139,245
Borno,2017-08-01,26,112,349
Borno,2017-09-01,35,152,174
Borno,2017-10-01,38,157,580
Borno,2017-11-01,32,150,127
Borno,2017-12-01,45,212,251
Borno,2018-01-01,22,103,399
Borno,2018-02-01,24,102,104
Borno,2018-03-01,15,69,71
Borno,2018-04-01,29,131,155
Borno,2018-05-01,29,127,96
Borno,2018-06-01,41,163,207
Borno,2018-07-01,28,118,225
Borno,2018-08-01,24,107,167
Borno,2018-09-01,40,187,174
Borno,2018-10-01,28,127,206
Borno,2018-11-01,43,192,176
Borno,2018-12-01,65,296,252
Borno,2019-01-01,39,182,201
Borno,2019-02-01,29,129,150
Borno,2019-03-01,21,102,138
Borno,2019-04-01,16,78,176
Borno,2019-05-01,33,102,143
Borno,2019-06-01,38,181,271
Borno,2019-07-01,14,64,188
Borno,2019-08-01,32,145,144
Borno,2019-09-01,34,157,193
Borno,2019-10-01,21,82,116
Borno,2019-11-01,38,160,163
Borno,2019-12-01,77,352,296
Borno,2020-01-01,60,244,279
Borno,2020-02-01,59,258,191
Borno,2020-03-01,28,134,116
Borno,2020-04-01,42,192,160
Borno,2020-05-01,68,308,487
Borno,2020-06-01,81,375,426
Borno,2020-07-01,71,311,263
Borno,2020-08-01,79,340,321
Borno,2020-09-01,57,243,214
Borno,2020-10-01,63,295,352
Borno,2020-11-01,58,282,313
Borno,2020-12-01,49,233,177
Borno,2021-01-01,85,403,370
Borno,2021-02-01,55,261,336
Borno,2021-03-01,39,171,405
Borno,2021-04-01,44,208,215
Borno,2021-05-01,28,134,304
Borno,2021-06-01,33,159,153
Borno,2021-07-01,47,205,99
Borno,2021-08-01,32,132,168
Borno,2021-09-01,24,102,105
Borno,2021-10-01,61,268,330
Borno,2021-11-01,42,145,195
Borno,2021-12-01,40,154,253
Borno,2022-01-01,57,221,408
Borno,2022-02-01,37,159,103
Borno,2022-03-01,30,116,174
Borno,2022-04-01,73,306,310
Borno,2022-05-01,33,126,150
Borno,2022-06-01,46,194,209
Borno,2022-07-01,39,157,198
Borno,2022-08-01,30,133,306
Borno,2022-09-01,53,222,182
Borno,2022-10-01,56,226,216
Borno,2022-11-01,49,216,249
Borno,2022-12-01,48,220,440
Borno,2023-01-01,33,138,139
Borno,2023-02-01,40,170,400
Borno,2023-03-01,43,179,258
Borno,2023-04-01,48,220,186
Borno,2023-05-01,44,197,217
Borno,2023-06-01,42,183,298
Borno,2023-07-01,58,239,185
Borno,2023-08-01,65,269,351
Borno,2023-09-01,61,273,124
Borno,2023-10-01,58,245,225
Borno,2023-11-01,68,316,287
Borno,2023-12-01,86,372,181
Borno,2024-01-01,81,363,196
Borno,2024-02-01,56,221,79
Borno,2024-03-01,60,239,130
Borno,2024-04-01,41,151,296
Borno,2024-05-01,51,192,111
Borno,2024-06-01,45,181,223
Borno,2024-07-01,73,284,267
Borno,2024-08-01,57,210,234
Borno,2024-09-01,47,208,125
Borno,2024-10-01,22,92,74
Borno,2024-11-01,81,309,242
Borno,2024-12-01,46,183,172
Gombe,2017-02-01,1,5,0
