date,state,commodity,price_ngn,rainfall_mm,pms_price_ngn,conflict_events,conflict_score_weighted,conflict_fatalities,inflation_rate_pct,exchange_rate_ngn_usd,mpr_pct,import_volume_tonnes,price_lag1,price_lag2,price_lag3,harvest_season,other_commodity_avg_price
2021-03-01,Abia,Maize (white),280.52,0.0,158.57,8.0,33.0,6.0,46.08224824651265,381.0,11.5,98313.0,,,,0,617.8533333333334
2021-05-01,Abia,Maize (white),345.27,0.0,166.13,13.0,47.0,8.0,47.02966679648189,400.126666666667,11.5,98313.0,280.52,,,0,779.354
2021-07-01,Abia,Maize (white),400.3,0.0,182.23,1.0,1.0,0.0,47.96168636228288,410.121,11.5,98313.0,345.27,280.52,,0,825.9266666666666
2021-08-01,Abia,Maize (white),294.04,0.0,171.51,7.0,25.0,2.0,48.47093570933322,410.385454545455,11.5,98313.0,400.3,345.27,280.52,1,810.984
2021-10-01,Abia,Maize (white),333.88,0.0,170.25,9.0,33.0,6.0,49.52636692676681,411.247368421053,11.5,98313.0,294.04,400.3,345.27,1,798.3000000000001
2021-12-01,Abia,Maize (white),318.62,0.0,166.33,2.0,9.0,1.0,51.1545682688473,414.335714285714,11.5,98313.0,333.88,294.04,400.3,0,811.594
2022-01-01,Abia,Maize (white),314.81,0.0,177.33,9.0,30.0,7.0,51.98456582677321,415.96,11.5,103292.0,318.62,333.88,294.04,0,761.13
2022-02-01,Abia,Maize (white),314.81,0.0,178.23,6.0,19.0,12.0,52.95831709947901,416.95,11.5,103292.0,314.81,318.62,333.88,0,905.7025
2022-04-01,Abia,Maize (white),301.68,0.0,195.27,10.0,29.0,14.0,55.088657493351896,415.526315789474,13.0,103292.0,314.81,314.81,318.62,0,1059.3266666666666
2022-06-01,Abia,Maize (white),279.32,0.0,179.67,5.0,11.0,0.0,57.34963687058611,415.638095238095,13.0,103292.0,301.68,314.81,314.81,0,608.01
2022-09-01,Abia,Maize (white),302.66,0.0,187.33,4.0,17.0,0.0,60.53336178695896,435.570454545455,15.5,103292.0,279.32,301.68,314.81,1,779.53
2023-01-01,Abia,Maize (white),305.64,0.0,300.69,7.0,14.0,4.0,64.62497365041287,460.992857142857,18.0,50000.0,302.66,279.32,301.68,0,499.7
2017-01-01,Abia,Maize (yellow),177.12,0.0,153.3,0.0,0.0,0.0,23.74641819519612,305.202380952381,14.0,319048.605,,,,0,801.03
2017-02-01,Abia,Maize (yellow),192.04,0.0,153.3,1.0,1.0,0.0,24.21874753225409,305.3125,14.0,319048.605,177.12,,,0,350.52
2021-05-01,Abia,Maize (yellow),381.14,0.0,166.13,13.0,47.0,8.0,47.02966679648189,400.126666666667,11.5,98313.0,192.04,177.12,,0,779.354
2021-06-01,Abia,Maize (yellow),437.98,0.0,177.36,6.0,22.0,10.0,47.55242547867445,410.119047619048,11.5,98313.0,381.14,192.04,177.12,0,697.0933333333334
2021-07-01,Abia,Maize (yellow),463.13,0.0,182.23,1.0,1.0,0.0,47.96168636228288,410.121,11.5,98313.0,437.98,381.14,192.04,0,825.9266666666666
2021-08-01,Abia,Maize (yellow),329.98,0.0,171.51,7.0,25.0,2.0,48.47093570933322,410.385454545455,11.5,98313.0,463.13,437.98,381.14,1,810.984
2021-09-01,Abia,Maize (yellow),297.44,0.0,172.5,5.0,15.0,1.0,49.080033489473074,410.795454545455,11.5,98313.0,329.98,463.13,437.98,1,648.19
2021-10-01,Abia,Maize (yellow),361.05,0.0,170.25,9.0,33.0,6.0,49.52636692676681,411.247368421053,11.5,98313.0,297.44,329.98,463.13,1,798.3000000000001
2021-11-01,Abia,Maize (yellow),346.08,0.0,170.25,3.0,6.0,1.0,50.05640833709624,411.738636363636,11.5,98313.0,361.05,297.44,329.98,0,951.02
2021-12-01,Abia,Maize (yellow),358.35,0.0,166.33,2.0,9.0,1.0,51.1545682688473,414.335714285714,11.5,98313.0,346.08,361.05,297.44,0,811.594
2022-01-01,Abia,Maize (yellow),373.71,0.0,177.33,9.0,30.0,7.0,51.98456582677321,415.96,11.5,103292.0,358.35,346.08,361.05,0,761.13
2022-03-01,Abia,Maize (yellow),343.15,0.0,210.31,2.0,8.0,3.0,54.00984529978175,415.721739130435,11.5,103292.0,373.71,358.35,346.08,0,927.07
2022-05-01,Abia,Maize (yellow),337.21,0.0,193.2,6.0,15.0,1.0,56.19860475604872,415.95,13.0,103292.0,343.15,373.71,358.35,0,337.21
2022-06-01,Abia,Maize (yellow),341.85,0.0,179.67,5.0,11.0,0.0,57.34963687058611,415.638095238095,13.0,103292.0,337.21,343.15,373.71,0,608.01
2022-07-01,Abia,Maize (yellow),340.97,0.0,185.73,10.0,28.0,7.0,58.52132236966296,417.260526315789,15.5,103292.0,341.85,337.21,343.15,0,730.12
2022-08-01,Abia,Maize (yellow),338.03,0.0,185.0,8.0,29.0,45.0,59.67781591027701,426.060869565217,15.5,103292.0,340.97,341.85,337.21,1,688.5366666666665
2022-09-01,Abia,Maize (yellow),337.49,0.0,187.33,4.0,17.0,0.0,60.53336178695896,435.570454545455,15.5,103292.0,338.03,340.97,341.85,1,779.53
2022-10-01,Abia,Maize (yellow),339.29,0.0,186.56,13.0,30.0,2.0,61.27575164893462,440.846842105263,16.5,103292.0,337.49,338.03,340.97,1,1087.355
2022-11-01,Abia,Maize (yellow),356.09,0.0,195.22,6.0,19.0,3.0,62.13274253470877,445.581363636364,16.5,103292.0,339.29,337.49,338.03,0,1016.63
2022-12-01,Abia,Maize (yellow),339.98,0.0,166.33,4.0,10.0,0.0,63.30567891626104,450.7075,16.5,103292.0,356.09,339.29,337.49,0,597.925
2023-01-01,Abia,Maize (yellow),341.46,0.0,300.69,7.0,14.0,4.0,64.62497365041287,460.992857142857,18.0,50000.0,339.98,356.09,339.29,0,499.7
2017-01-01,Abia,Rice (imported),1450.0,0.0,153.3,0.0,0.0,0.0,23.74641819519612,305.202380952381,14.0,2767.58,,,,0,801.03
2021-04-01,Abia,Rice (imported),1608.9,0.0,157.11,3.0,13.0,2.0,46.539011778782914,381.0,11.5,2978.0,1450.0,,,0,1341.185
2021-05-01,Abia,Rice (imported),1517.71,0.0,166.13,13.0,47.0,8.0,47.02966679648189,400.126666666667,11.5,2978.0,1608.9,1450.0,,0,779.354
2021-07-01,Abia,Rice (imported),1614.35,0.0,182.23,1.0,1.0,0.0,47.96168636228288,410.121,11.5,2978.0,1517.71,1608.9,1450.0,0,825.9266666666666
2021-08-01,Abia,Rice (imported),1663.16,0.0,171.51,7.0,25.0,2.0,48.47093570933322,410.385454545455,11.5,2978.0,1614.35,1517.71,1608.9,0,810.984
2021-10-01,Abia,Rice (imported),1699.97,0.0,170.25,9.0,33.0,6.0,49.52636692676681,411.247368421053,11.5,2978.0,1663.16,1614.35,1517.71,1,798.3000000000001
2021-11-01,Abia,Rice (imported),1710.0,0.0,170.25,3.0,6.0,1.0,50.05640833709624,411.738636363636,11.5,2978.0,1699.97,1663.16,1614.35,1,951.02
2021-12-01,Abia,Rice (imported),1808.0,0.0,166.33,2.0,9.0,1.0,51.1545682688473,414.335714285714,11.5,2978.0,1710.0,1699.97,1663.16,1,811.594
2022-01-01,Abia,Rice (imported),1822.0,0.0,177.33,9.0,30.0,7.0,51.98456582677321,415.96,11.5,2973.0,1808.0,1710.0,1699.97,0,761.13
2022-02-01,Abia,Rice (imported),1822.0,0.0,178.23,6.0,19.0,12.0,52.95831709947901,416.95,11.5,2973.0,1822.0,1808.0,1710.0,0,905.7025
2022-03-01,Abia,Rice (imported),1725.55,0.0,210.31,2.0,8.0,3.0,54.00984529978175,415.721739130435,11.5,2973.0,1822.0,1822.0,1808.0,0,927.07
2022-04-01,Abia,Rice (imported),1726.97,0.0,195.27,10.0,29.0,14.0,55.088657493351896,415.526315789474,13.0,2973.0,1725.55,1822.0,1822.0,0,1059.3266666666666
2022-09-01,Abia,Rice (imported),1783.07,0.0,187.33,4.0,17.0,0.0,60.53336178695896,435.570454545455,15.5,2973.0,1726.97,1725.55,1822.0,0,779.53
2022-10-01,Abia,Rice (imported),1929.45,0.0,186.56,13.0,30.0,2.0,61.27575164893462,440.846842105263,16.5,2973.0,1783.07,1726.97,1725.55,1,1087.355
2017-01-01,Abia,Rice (local),1073.0,0.0,153.3,0.0,0.0,0.0,23.74641819519612,305.202380952381,14.0,1.0,,,,0,801.03
2021-03-01,Abia,Rice (local),1055.58,0.0,158.57,8.0,33.0,6.0,46.08224824651265,381.0,11.5,10.79,1073.0,,,0,617.8533333333334
2021-04-01,Abia,Rice (local),1073.47,0.0,157.11,3.0,13.0,2.0,46.539011778782914,381.0,11.5,2978.0,1055.58,1073.0,,0,1341.185
2021-05-01,Abia,Rice (local),1019.0,0.0,166.13,13.0,47.0,8.0,47.02966679648189,400.126666666667,11.5,10.79,1073.47,1055.58,1073.0,0,779.354
2021-06-01,Abia,Rice (local),1002.83,0.0,177.36,6.0,22.0,10.0,47.55242547867445,410.119047619048,11.5,10.79,1019.0,1073.47,1055.58,0,697.0933333333334
2021-08-01,Abia,Rice (local),1129.19,0.0,171.51,7.0,25.0,2.0,48.47093570933322,410.385454545455,11.5,10.79,1002.83,1019.0,1073.47,0,810.984
2021-09-01,Abia,Rice (local),1099.73,0.0,172.5,5.0,15.0,1.0,49.080033489473074,410.795454545455,11.5,10.79,1129.19,1002.83,1019.0,0,648.19
2021-11-01,Abia,Rice (local),1154.0,0.0,170.25,3.0,6.0,1.0,50.05640833709624,411.738636363636,11.5,10.79,1099.73,1129.19,1002.83,1,951.02
2021-12-01,Abia,Rice (local),1093.0,0.0,166.33,2.0,9.0,1.0,51.1545682688473,414.335714285714,11.5,10.79,1154.0,1099.73,1129.19,1,811.594
2022-02-01,Abia,Rice (local),952.0,0.0,178.23,6.0,19.0,12.0,52.95831709947901,416.95,11.5,10.79,1093.0,1154.0,1099.73,0,905.7025
