date,mpr
2017-01-01,14.0
2017-02-01,14.0
2017-03-01,14.0
2017-04-01,14.0
2017-05-01,14.0
2017-06-01,14.0
2017-07-01,14.0
2017-08-01,14.0
2017-09-01,14.0
2017-10-01,14.0
2017-11-01,14.0
2017-12-01,14.0
2018-01-01,14.0
2018-02-01,14.0
2018-03-01,14.0
2018-04-01,14.0
2018-05-01,14.0
2018-06-01,14.0
2018-07-01,14.0
2018-08-01,14.0
2018-09-01,14.0
2018-10-01,14.0
2018-11-01,14.0
2018-12-01,14.0
2019-01-01,13.5
2019-02-01,13.5
2019-03-01,13.5
2019-04-01,13.5
2019-05-01,13.5
2019-06-01,13.5
2019-07-01,13.5
2019-08-01,13.5
2019-09-01,13.5
2019-10-01,13.5
2019-11-01,13.5
2019-12-01,13.5
2020-01-01,11.5
2020-02-01,11.5
2020-03-01,11.5
2020-04-01,11.5
2020-05-01,11.5
2020-06-01,11.5
2020-07-01,11.5
2020-08-01,11.5
2020-09-01,11.5
2020-10-01,11.5
2020-11-01,11.5
2020-12-01,11.5
2021-01-01,11.5
2021-02-01,11.5
2021-03-01,11.5
2021-04-01,11.5
2021-05-01,11.5
2021-06-01,11.5
2021-07-01,11.5
2021-08-01,11.5
2021-09-01,11.5
2021-10-01,11.5
2021-11-01,11.5
2021-12-01,11.5
2022-01-01,11.5
2022-02-01,11.5
2022-03-01,11.5
2022-04-01,13.0
2022-05-01,13.0
2022-06-01,13.0
2022-07-01,15.5
2022-08-01,15.5
2022-09-01,15.5
2022-10-01,16.5
2022-11-01,16.5
2022-12-01,16.5
2023-01-01,18.0
2023-02-01,18.0
2023-03-01,18.0
2023-04-01,18.5
2023-05-01,18.5
2023-06-01,18.5
2023-07-01,18.75
2023-08-01,18.75
2023-09-01,18.75
2023-10-01,18.75
2023-11-01,18.75
2023-12-01,18.75
2024-01-01,24.75
2024-02-01,24.75
2024-03-01,24.75
2024-04-01,26.25
2024-05-01,26.25
2024-06-01,26.25
2024-07-01,27.25
2024-08-01,27.25
2024-09-01,27.25
2024-10-01,27.5
2024-11-01,27.5
2024-12-01,27.5
