state,date,pms_price
Abia,2017-03-01,150.4
Abia,2017-04-01,149.0
Abia,2017-05-01,151.9
Abia,2017-06-01,149.7
Abia,2017-07-01,147.0
Abia,2017-08-01,144.7
Abia,2017-09-01,144.5
Abia,2017-10-01,147.86
Abia,2017-11-01,147.5
Abia,2017-12-01,220.4
Abia,2018-01-01,227.5
Abia,2018-02-01,191.13
Abia,2018-03-01,164.5
Abia,2018-04-01,147.55
Abia,2018-05-01,145.45
Abia,2018-06-01,146.33
Abia,2018-07-01,146.5
Abia,2018-08-01,147.0
Abia,2018-09-01,146.3
Abia,2018-10-01,147.67
Abia,2018-11-01,150.67
Abia,2018-12-01,144.72
Abia,2019-01-01,144.65
Abia,2019-02-01,145.93
Abia,2019-03-01,146.12
Abia,2019-04-01,146.29
Abia,2019-05-01,145.64
Abia,2019-06-01,155.68
Abia,2019-07-01,154.96
Abia,2019-08-01,143.13
Abia,2019-09-01,152.31
Abia,2019-10-01,144.75
Abia,2019-11-01,153.24
Abia,2019-12-01,163.17
Abia,2020-01-01,154.3
Abia,2020-02-01,134.93
Abia,2020-03-01,77.6
Abia,2020-04-01,44.56
Abia,2020-05-01,71.22
Abia,2020-06-01,97.62
Abia,2020-07-01,104.82
Abia,2020-08-01,108.46
Abia,2020-09-01,99.18
Abia,2020-10-01,97.43
Abia,2020-11-01,103.49
Abia,2020-12-01,121.19
Abia,2021-01-01,132.77
Abia,2021-02-01,150.98
Abia,2021-03-01,158.57
Abia,2021-04-01,157.11
Abia,2021-05-01,166.13
Abia,2021-06-01,177.36
Abia,2021-07-01,182.23
Abia,2021-08-01,171.51
Abia,2021-09-01,172.5
Abia,2021-10-01,170.25
Abia,2021-12-01,166.33
Abia,2022-01-01,177.33
Abia,2022-02-01,178.23
Abia,2022-03-01,210.31
Abia,2022-04-01,195.27
Abia,2022-05-01,193.2
Abia,2022-06-01,179.67
Abia,2022-07-01,185.73
Abia,2022-08-01,185.0
Abia,2022-09-01,187.33
Abia,2022-10-01,186.56
Abia,2022-11-01,195.22
Abia,2022-12-01,166.33
Abia,2023-01-01,300.69
Abia,2023-02-01,217.15
Abia,2023-03-01,300.54
Abia,2023-04-01,284.29
