date,state,rainfall
2017-04-01,Abia,0.0
2017-05-01,Abia,0.0
2017-06-01,Abia,0.0
2017-07-01,Abia,0.0
2017-08-01,Abia,0.0
2017-09-01,Abia,0.0
2017-10-01,Abia,0.0
2017-11-01,Abia,0.0
2017-12-01,Abia,0.0
2017-01-01,Abia,0.0
2017-02-01,Abia,0.0
2017-03-01,Abia,0.0
2018-04-01,Abia,0.0
2018-05-01,Abia,0.0
2018-06-01,Abia,0.0
2018-07-01,Abia,0.0
2018-08-01,Abia,0.0
2018-09-01,Abia,0.0
2018-10-01,Abia,0.0
2018-11-01,Abia,0.0
2018-12-01,Abia,0.0
2018-01-01,Abia,0.0
2018-02-01,Abia,0.0
2018-03-01,Abia,0.0
2019-04-01,Abia,0.0
2019-05-01,Abia,0.0
2019-06-01,Abia,0.0
2019-07-01,Abia,0.0
2019-08-01,Abia,0.0
2019-09-01,Abia,0.0
2019-10-01,Abia,0.0
2019-11-01,Abia,0.0
2019-12-01,Abia,0.0
2019-01-01,Abia,0.0
2019-02-01,Abia,0.0
2019-03-01,Abia,0.0
2020-04-01,Abia,0.0
2020-05-01,Abia,0.0
2020-06-01,Abia,0.0
2020-07-01,Abia,0.0
2020-08-01,Abia,0.0
2020-09-01,Abia,0.0
2020-10-01,Abia,0.0
2020-11-01,Abia,0.0
2020-12-01,Abia,0.0
2020-01-01,Abia,0.0
2020-02-01,Abia,0.0
2020-03-01,Abia,0.0
2021-04-01,Abia,0.0
2021-05-01,Abia,0.0
2021-06-01,Abia,0.0
2021-07-01,Abia,0.0
2021-08-01,Abia,0.0
2021-09-01,Abia,0.0
2021-10-01,Abia,0.0
2021-11-01,Abia,0.0
2021-12-01,Abia,0.0
2021-01-01,Abia,0.0
2021-02-01,Abia,0.0
2021-03-01,Abia,0.0
2022-04-01,Abia,0.0
2022-05-01,Abia,0.0
2022-06-01,Abia,0.0
2022-07-01,Abia,0.0
2022-08-01,Abia,0.0
2022-09-01,Abia,0.0
2022-10-01,Abia,0.0
2022-11-01,Abia,0.0
2022-12-01,Abia,0.0
2022-01-01,Abia,0.0
2022-02-01,Abia,0.0
2022-03-01,Abia,0.0
2023-04-01,Abia,0.0
2023-05-01,Abia,0.0
2023-06-01,Abia,0.0
2023-07-01,Abia,132.5
2023-08-01,Abia,203.48500000000004
2023-09-01,Abia,410.5
2023-10-01,Abia,350.268
2023-11-01,Abia,56.782000000000004
2023-12-01,Abia,0.0
2023-01-01,Abia,0.0
2023-02-01,Abia,24.4
2023-03-01,Abia,97.833
2024-04-01,Abia,92.61000000000001
2024-05-01,Abia,187.49299999999997
2024-06-01,Abia,266.0
2024-07-01,Abia,408.3
2024-08-01,Abia,148.44400000000002
2024-09-01,Abia,287.73499999999996
2024-10-01,Abia,275.454
2024-11-01,Abia,9.611
2024-12-01,Abia,0.0
2017-04-01,Adamawa,69.8
2017-05-01,Adamawa,161.8
2017-06-01,Adamawa,114.0
2017-07-01,Adamawa,239.7
2017-08-01,Adamawa,158.0
2017-09-01,Adamawa,172.4
2017-10-01,Adamawa,0.0
2017-11-01,Adamawa,0.0
2017-12-01,Adamawa,0.0
2017-01-01,Adamawa,0.0
2017-02-01,Adamawa,0.0
2017-03-01,Adamawa,0.0
2018-04-01,Adamawa,8.6
2018-05-01,Adamawa,104.5
2018-06-01,Adamawa,178.2
2018-07-01,Adamawa,233.1
2018-08-01,Adamawa,144.8
2018-09-01,Adamawa,262.9
2018-10-01,Adamawa,38.5
2018-11-01,Adamawa,0.0
2018-12-01,Adamawa,0.0
2018-01-01,Adamawa,0.0
2018-02-01,Adamawa,0.0
2018-03-01,Adamawa,0.0
2019-04-01,Adamawa,20.5
2019-05-01,Adamawa,140.5
2019-06-01,Adamawa,169.8
2019-07-01,Adamawa,144.8
2019-08-01,Adamawa,310.8
2019-09-01,Adamawa,236.0
2019-10-01,Adamawa,247.8
2019-11-01,Adamawa,0.0
2019-12-01,Adamawa,0.0
2019-01-01,Adamawa,0.0
2019-02-01,Adamawa,0.0
2019-03-01,Adamawa,0.0
2020-04-01,Adamawa,12.1
2020-05-01,Adamawa,44.8
2020-06-01,Adamawa,154.0
2020-07-01,Adamawa,296.8
2020-08-01,Adamawa,117.0
2020-09-01,Adamawa,162.5
2020-10-01,Adamawa,60.5
2020-11-01,Adamawa,0.0
2020-12-01,Adamawa,0.0
2020-01-01,Adamawa,0.0
2020-02-01,Adamawa,0.0
2020-03-01,Adamawa,0.0
2021-04-01,Adamawa,4.0
2021-05-01,Adamawa,129.7
2021-06-01,Adamawa,130.9
2021-07-01,Adamawa,100.5
2021-08-01,Adamawa,205.4
2021-09-01,Adamawa,185.5
2021-10-01,Adamawa,12.7
2021-11-01,Adamawa,0.0
2021-12-01,Adamawa,0.0
2021-01-01,Adamawa,42.8
2021-02-01,Adamawa,0.0
2021-03-01,Adamawa,53.6
2022-04-01,Adamawa,279.5
2022-05-01,Adamawa,382.5
2022-06-01,Adamawa,207.4
2022-07-01,Adamawa,308.7
2022-08-01,Adamawa,115.2
2022-09-01,Adamawa,472.8
2022-10-01,Adamawa,380.1
2022-11-01,Adamawa,3.0
2022-12-01,Adamawa,0.0
2022-01-01,Adamawa,14.8
2022-02-01,Adamawa,0.0
2022-03-01,Adamawa,153.7
2023-04-01,Adamawa,232.0
2023-05-01,Adamawa,199.5
2023-06-01,Adamawa,242.8
2023-07-01,Adamawa,153.102
2023-08-01,Adamawa,206.495
2023-09-01,Adamawa,211.29600000000002
2023-10-01,Adamawa,74.19699999999999
2023-11-01,Adamawa,0.001
2023-12-01,Adamawa,0.0
2023-01-01,Adamawa,0.0
2023-02-01,Adamawa,0.0
2023-03-01,Adamawa,0.0
2024-04-01,Adamawa,6.704
2024-05-01,Adamawa,17.488999999999997
2024-06-01,Adamawa,202.887
2024-07-01,Adamawa,88.00800000000001
2024-08-01,Adamawa,159.404
