date,state,commodity,price
2017-01-15,Abia,Maize (yellow),177.12
2017-01-15,Abia,Rice (imported),1450.0
2017-01-15,Abia,Rice (local),1073.0
2017-01-15,Abia,Yam,504.0
2017-01-15,Borno,Beans (white),783.5
2017-01-15,Borno,Rice (imported),1223.3333333333333
2017-01-15,Borno,Rice (local),829.4285714285714
2017-01-15,Borno,Yam,269.6666666666667
2017-01-15,Lagos,Yam,389.0
2017-02-15,Abia,Maize (yellow),192.04
2017-02-15,Abia,Yam,509.0
2017-02-15,Borno,Beans (white),665.0
2017-02-15,Borno,Rice (imported),1210.0
2017-02-15,Borno,Rice (local),848.6
2017-02-15,Borno,Yam,255.33333333333334
2017-02-15,Kaduna,Yam,273.0
2017-02-15,Lagos,Yam,426.0
2017-02-15,Yobe,Beans (white),635.4
2017-02-15,Yobe,Rice (imported),1025.0
2017-02-15,Yobe,Rice (local),696.2
2017-02-15,Yobe,Tomatoes,30.0
2017-02-15,Yobe,Yam,338.5
2017-03-15,Adamawa,Maize (yellow),117.0
2017-03-15,Borno,Beans (white),826.6
2017-03-15,Borno,Rice (imported),1240.0
2017-03-15,Borno,Rice (local),853.5
2017-03-15,Borno,Yam,276.0
2017-03-15,Lagos,Yam,493.0
2017-03-15,Yobe,Beans (white),729.0
2017-03-15,Yobe,Maize (yellow),147.0
2017-03-15,Yobe,Rice (imported),1037.5
2017-03-15,Yobe,Rice (local),823.6666666666666
2017-03-15,Yobe,Tomatoes,48.75
2017-03-15,Yobe,Yam,359.0
2017-04-15,Abia,Yam,548.0
2017-04-15,Adamawa,Yam,500.0
2017-04-15,Borno,Beans (white),829.8333333333334
2017-04-15,Borno,Rice (imported),1237.3333333333333
2017-04-15,Borno,Rice (local),855.5714285714286
2017-04-15,Borno,Yam,322.2857142857143
2017-04-15,Gombe,Yam,323.0
2017-04-15,Jigawa,Yam,448.0
2017-04-15,Kaduna,Yam,405.0
2017-04-15,Lagos,Yam,538.0
2017-04-15,Yobe,Beans (white),794.0
2017-04-15,Yobe,Maize (yellow),150.0
2017-04-15,Yobe,Rice (imported),1040.0
2017-04-15,Yobe,Rice (local),826.5714285714286
2017-04-15,Yobe,Tomatoes,48.0
2017-04-15,Yobe,Yam,486.14285714285717
2017-04-15,Zamfara,Yam,305.0
2017-05-15,Abia,Yam,608.0
2017-05-15,Adamawa,Yam,358.0
2017-05-15,Borno,Beans (white),789.2857142857143
2017-05-15,Borno,Rice (imported),1200.6666666666667
2017-05-15,Borno,Rice (local),837.0
2017-05-15,Borno,Yam,296.2857142857143
2017-05-15,Gombe,Yam,503.0
2017-05-15,Kaduna,Yam,470.0
2017-05-15,Kano,Yam,560.0
2017-05-15,Kebbi,Yam,393.0
2017-05-15,Lagos,Yam,673.0
2017-05-15,Yobe,Beans (white),781.0
2017-05-15,Yobe,Maize (yellow),150.0
2017-05-15,Yobe,Rice (imported),1035.0
2017-05-15,Yobe,Rice (local),806.0
2017-05-15,Yobe,Tomatoes,53.125
2017-05-15,Yobe,Yam,445.2857142857143
2017-05-15,Zamfara,Yam,310.0
2017-06-15,Abia,Yam,608.0
2017-06-15,Borno,Beans (white),736.4
2017-06-15,Borno,Rice (imported),1180.0
2017-06-15,Borno,Rice (local),858.4
2017-06-15,Borno,Yam,557.25
2017-06-15,Gombe,Yam,520.0
2017-06-15,Jigawa,Yam,533.0
2017-06-15,Kaduna,Yam,533.0
2017-06-15,Katsina,Yam,413.0
2017-06-15,Kebbi,Yam,550.0
2017-06-15,Lagos,Yam,723.0
2017-06-15,Yobe,Beans (white),758.5
2017-06-15,Yobe,Maize (yellow),170.0
2017-06-15,Yobe,Rice (imported),1085.7142857142858
2017-06-15,Yobe,Rice (local),811.6666666666666
2017-06-15,Yobe,Tomatoes,35.0
2017-06-15,Yobe,Yam,275.42857142857144
2017-06-15,Zamfara,Yam,315.0
2017-07-15,Abia,Yam,608.0
2017-07-15,Adamawa,Yam,120.0
2017-07-15,Borno,Beans (white),859.5
2017-07-15,Borno,Rice (imported),1087.5
2017-07-15,Borno,Rice (local),861.0
2017-07-15,Borno,Yam,550.625
2017-07-15,Gombe,Yam,520.0
2017-07-15,Kaduna,Yam,403.0
2017-07-15,Kebbi,Yam,635.0
2017-07-15,Yobe,Beans (white),1681.857142857143
2017-07-15,Yobe,Maize (yellow),148.0
2017-07-15,Yobe,Rice (imported),2130.0
2017-07-15,Yobe,Rice (local),1603.25
2017-07-15,Yobe,Tomatoes,57.142857142857146
2017-07-15,Yobe,Yam,437.5
2017-07-15,Zamfara,Yam,345.0
2017-08-15,Abia,Yam,608.0
2017-08-15,Adamawa,Yam,55.0
2017-08-15,Borno,Beans (white),1414.0
2017-08-15,Borno,Rice (imported),2033.2
2017-08-15,Borno,Rice (local),1711.8333333333333
2017-08-15,Borno,Yam,591.8
2017-08-15,Gombe,Yam,518.0
2017-08-15,Jigawa,Yam,495.0
2017-08-15,Kaduna,Yam,390.0
2017-08-15,Oyo,Yam,378.0
2017-08-15,Yobe,Beans (white),1727.6666666666667
2017-08-15,Yobe,Maize (yellow),129.0
2017-08-15,Yobe,Rice (imported),2200.0
2017-08-15,Yobe,Rice (local),1529.2
2017-08-15,Yobe,Tomatoes,48.0
2017-08-15,Yobe,Yam,601.1428571428571
2017-08-15,Zamfara,Yam,305.0
2017-09-15,Borno,Beans (white),721.0
2017-09-15,Borno,Rice (imported),1107.142857142857
2017-09-15,Borno,Rice (local),843.2
2017-09-15,Borno,Yam,419.3333333333333
2017-09-15,Jigawa,Yam,403.0
2017-09-15,Kaduna,Yam,311.5
2017-09-15,Katsina,Yam,243.0
2017-09-15,Kebbi,Yam,408.0
2017-09-15,Lagos,Yam,485.0
2017-09-15,Oyo,Maize (white),108.0
2017-09-15,Oyo,Maize (yellow),88.0
2017-09-15,Oyo,Yam,280.0
2017-09-15,Yobe,Beans (white),1395.6
2017-09-15,Yobe,Maize (yellow),120.5
2017-09-15,Yobe,Rice (imported),2100.0
2017-09-15,Yobe,Rice (local),1581.6
2017-09-15,Yobe,Tomatoes,78.75
2017-09-15,Yobe,Yam,424.7
2017-09-15,Zamfara,Yam,260.0
2017-10-15,Borno,Beans (white),689.0
2017-10-15,Borno,Rice (imported),1113.3333333333333
2017-10-15,Borno,Rice (local),728.0
2017-10-15,Borno,Yam,463.875
2017-10-15,Kaduna,Yam,190.0
2017-10-15,Katsina,Yam,325.0
2017-10-15,Lagos,Yam,525.0
2017-10-15,Oyo,Yam,293.0
2017-10-15,Yobe,Beans (white),1519.625
2017-10-15,Yobe,Maize (yellow),99.0
2017-10-15,Yobe,Rice (imported),2025.0
2017-10-15,Yobe,Rice (local),1446.2
2017-10-15,Yobe,Tomatoes,72.0
2017-10-15,Yobe,Yam,387.77777777777777
2017-10-15,Zamfara,Yam,298.0
2017-11-15,Borno,Beans (white),666.6666666666666
2017-11-15,Borno,Rice (imported),1100.0
2017-11-15,Borno,Rice (local),712.0
2017-11-15,Borno,Tomatoes,75.0
2017-11-15,Borno,Yam,405.375
2017-11-15,Gombe,Yam,408.0
2017-11-15,Jigawa,Yam,311.0
2017-11-15,Kaduna,Yam,482.5
2017-11-15,Kano,Yam,677.0
2017-11-15,Katsina,Yam,423.0
2017-11-15,Kebbi,Yam,325.0
2017-11-15,Yobe,Beans (white),1341.125
2017-11-15,Yobe,Maize (yellow),74.81
2017-11-15,Yobe,Rice (imported),2050.0
2017-11-15,Yobe,Rice (local),1273.0
2017-11-15,Yobe,Tomatoes,50.0
2017-11-15,Yobe,Yam,407.57142857142856
2017-11-15,Zamfara,Yam,347.0
2017-12-15,Borno,Beans (white),674.8
2017-12-15,Borno,Rice (imported),1121.4285714285713
2017-12-15,Borno,Rice (local),687.5
2017-12-15,Borno,Tomatoes,55.0
2017-12-15,Borno,Yam,330.625
2017-12-15,Jigawa,Yam,271.0
2017-12-15,Kano,Yam,688.0
2017-12-15,Katsina,Yam,457.0
2017-12-15,Kebbi,Yam,305.0
2017-12-15,Lagos,Yam,563.0
2017-12-15,Yobe,Beans (white),1324.2857142857142
2017-12-15,Yobe,Maize (yellow),105.9
2017-12-15,Yobe,Rice (imported),1992.857142857143
2017-12-15,Yobe,Rice (local),1309.6666666666667
2017-12-15,Yobe,Tomatoes,73.75
2017-12-15,Yobe,Yam,303.85714285714283
2017-12-15,Zamfara,Yam,353.0
2018-01-15,Borno,Beans (white),794.6666666666666
2018-01-15,Borno,Maize (yellow),104.0
2018-01-15,Borno,Rice (imported),1112.5
2018-01-15,Borno,Rice (local),670.4
2018-01-15,Borno,Tomatoes,32.142857142857146
2018-01-15,Borno,Yam,358.57142857142856
2018-01-15,Gombe,Maize (yellow),112.0
2018-01-15,Gombe,Rice (imported),1000.0
2018-01-15,Gombe,Yam,532.0
2018-01-15,Jigawa,Maize (yellow),90.46
2018-01-15,Jigawa,Rice (local),593.0
2018-01-15,Kaduna,Maize (white),82.62
2018-01-15,Kaduna,Maize (yellow),85.71
2018-01-15,Kaduna,Yam,726.0
2018-01-15,Kano,Maize (white),105.9
2018-01-15,Kano,Rice (imported),793.0
2018-01-15,Kano,Yam,701.0
2018-01-15,Katsina,Maize (white),96.74
2018-01-15,Katsina,Rice (local),646.0
2018-01-15,Katsina,Yam,382.0
2018-01-15,Kebbi,Maize (white),101.26
2018-01-15,Kebbi,Maize (yellow),103.78
2018-01-15,Kebbi,Rice (imported),619.0
2018-01-15,Lagos,Maize (yellow),162.24
2018-01-15,Lagos,Yam,510.0
2018-01-15,Oyo,Maize (white),103.52
2018-01-15,Oyo,Maize (yellow),118.32
2018-01-15,Oyo,Rice (imported),756.0
2018-01-15,Oyo,Rice (local),701.0
2018-01-15,Yobe,Beans (white),1429.2222222222222
2018-01-15,Yobe,Maize (yellow),77.78
2018-01-15,Yobe,Rice (imported),1894.6666666666667
2018-01-15,Yobe,Rice (local),1259.375
2018-01-15,Yobe,Tomatoes,58.333333333333336
2018-01-15,Yobe,Yam,374.25
2018-01-15,Zamfara,Maize (white),93.29
2018-01-15,Zamfara,Maize (yellow),94.54
2018-01-15,Zamfara,Rice (imported),854.0
2018-01-15,Zamfara,Rice (local),661.0
2018-02-15,Adamawa,Rice (local),541.0
2018-02-15,Borno,Beans (white),1010.0
2018-02-15,Borno,Rice (imported),1137.5
2018-02-15,Borno,Rice (local),811.3333333333334
2018-02-15,Borno,Tomatoes,38.75
2018-02-15,Borno,Yam,350.25
2018-02-15,Gombe,Yam,626.0
2018-02-15,Kaduna,Yam,661.0
2018-02-15,Yobe,Beans (white),1547.5714285714287
2018-02-15,Yobe,Maize (yellow),77.32
2018-02-15,Yobe,Rice (imported),2010.0
2018-02-15,Yobe,Rice (local),1285.5555555555557
2018-02-15,Yobe,Tomatoes,81.66666666666667
2018-02-15,Yobe,Yam,316.7142857142857
2018-03-15,Adamawa,Maize (yellow),88.23
2018-03-15,Adamawa,Rice (local),546.0
2018-03-15,Adamawa,Yam,868.0
2018-03-15,Borno,Beans (white),961.6666666666666
2018-03-15,Borno,Rice (imported),1160.0
2018-03-15,Borno,Rice (local),732.6
2018-03-15,Borno,Tomatoes,57.5
2018-03-15,Borno,Yam,354.0
2018-03-15,Kaduna,Yam,555.0
2018-03-15,Lagos,Yam,479.0
2018-03-15,Yobe,Beans (white),1588.8333333333333
2018-03-15,Yobe,Maize (yellow),74.07
2018-03-15,Yobe,Rice (imported),1978.5714285714287
2018-03-15,Yobe,Rice (local),1294.0
2018-03-15,Yobe,Tomatoes,57.857142857142854
2018-03-15,Yobe,Yam,261.0
2018-04-15,Adamawa,Maize (yellow),95.66
2018-04-15,Adamawa,Rice (local),573.0
2018-04-15,Borno,Beans (white),869.2
2018-04-15,Borno,Rice (imported),1135.7142857142858
2018-04-15,Borno,Rice (local),732.8333333333334
2018-04-15,Borno,Tomatoes,65.0
2018-04-15,Borno,Yam,469.8888888888889
2018-04-15,Gombe,Yam,613.0
2018-04-15,Jigawa,Yam,461.0
2018-04-15,Kaduna,Yam,864.0
2018-04-15,Yobe,Beans (white),1607.4285714285713
2018-04-15,Yobe,Rice (imported),2042.857142857143
2018-04-15,Yobe,Rice (local),1289.75
2018-04-15,Yobe,Tomatoes,75.55555555555556
2018-04-15,Yobe,Yam,242.2
2018-05-15,Adamawa,Rice (local),592.0
2018-05-15,Adamawa,Yam,976.0
2018-05-15,Borno,Beans (white),929.3333333333334
2018-05-15,Borno,Rice (imported),1100.0
2018-05-15,Borno,Rice (local),815.0
2018-05-15,Borno,Tomatoes,81.25
2018-05-15,Borno,Yam,740.125
2018-05-15,Gombe,Yam,652.0
2018-05-15,Jigawa,Yam,474.0
2018-05-15,Kaduna,Yam,525.0
2018-05-15,Kano,Yam,826.0
2018-05-15,Katsina,Yam,685.0
2018-05-15,Kebbi,Yam,492.0
2018-05-15,Oyo,Yam,512.0
2018-05-15,Yobe,Beans (white),1607.4285714285713
2018-05-15,Yobe,Maize (yellow),82.53
2018-05-15,Yobe,Rice (imported),2000.0
2018-05-15,Yobe,Rice (local),1362.125
2018-05-15,Yobe,Tomatoes,74.28571428571429
2018-05-15,Yobe,Yam,297.0
2018-05-15,Zamfara,Yam,424.0
2018-06-15,Borno,Beans (white),841.6666666666666
2018-06-15,Borno,Rice (imported),1201.3333333333333
2018-06-15,Borno,Rice (local),866.5
2018-06-15,Borno,Tomatoes,70.81666666666666
2018-06-15,Borno,Yam,520.8
2018-06-15,Yobe,Beans (white),791.4285714285714
2018-06-15,Yobe,Rice (imported),1006.25
2018-06-15,Yobe,Rice (local),685.6666666666666
2018-06-15,Yobe,Tomatoes,72.0
2018-06-15,Yobe,Yam,311.14285714285717
2018-07-15,Adamawa,Maize (yellow),96.56
2018-07-15,Adamawa,Rice (local),697.0
2018-07-15,Adamawa,Yam,1137.0
2018-07-15,Borno,Beans (white),692.2
2018-07-15,Borno,Rice (imported),1187.5
2018-07-15,Borno,Rice (local),686.5714285714286
2018-07-15,Borno,Tomatoes,100.0
2018-07-15,Borno,Yam,823.2857142857143
2018-07-15,Jigawa,Yam,558.0
2018-07-15,Kaduna,Yam,1501.5
2018-07-15,Katsina,Yam,698.0
2018-07-15,Lagos,Yam,445.0
2018-07-15,Yobe,Beans (white),833.3333333333334
2018-07-15,Yobe,Rice (imported),943.75
2018-07-15,Yobe,Rice (local),665.5
2018-07-15,Yobe,Tomatoes,88.57142857142857
2018-07-15,Yobe,Yam,329.3333333333333
2018-07-15,Zamfara,Yam,1062.0
2018-08-15,Adamawa,Yam,1163.0
2018-08-15,Borno,Beans (white),745.0
2018-08-15,Borno,Rice (imported),1194.0
2018-08-15,Borno,Rice (local),715.0
2018-08-15,Borno,Tomatoes,100.0
2018-08-15,Borno,Yam,775.75
2018-08-15,Gombe,Yam,811.0
2018-08-15,Jigawa,Yam,444.0
2018-08-15,Kaduna,Yam,760.0
2018-08-15,Kebbi,Yam,475.0
2018-08-15,Lagos,Yam,430.0
2018-08-15,Oyo,Yam,266.0
2018-08-15,Yobe,Beans (white),1060.4
2018-08-15,Yobe,Rice (imported),975.0
2018-08-15,Yobe,Rice (local),699.0
2018-08-15,Yobe,Tomatoes,68.75
2018-08-15,Yobe,Yam,378.0
2018-08-15,Zamfara,Yam,809.0
2018-09-15,Adamawa,Rice (local),639.0
2018-09-15,Adamawa,Yam,1228.0
2018-09-15,Borno,Beans (white),697.0
2018-09-15,Borno,Rice (imported),1200.0
2018-09-15,Borno,Rice (local),844.0
2018-09-15,Borno,Tomatoes,76.66666666666667
2018-09-15,Borno,Yam,708.25
2018-09-15,Gombe,Yam,808.0
2018-09-15,Jigawa,Yam,408.0
2018-09-15,Kaduna,Yam,546.0
2018-09-15,Kano,Yam,164.0
2018-09-15,Katsina,Yam,268.0
2018-09-15,Yobe,Beans (white),868.0
2018-09-15,Yobe,Rice (imported),940.0
2018-09-15,Yobe,Rice (local),688.5
2018-09-15,Yobe,Tomatoes,85.55555555555556
2018-09-15,Yobe,Yam,242.0
2018-10-15,Adamawa,Rice (local),629.0
2018-10-15,Adamawa,Yam,1250.0
2018-10-15,Borno,Beans (white),762.6
2018-10-15,Borno,Maize (white),114.4
2018-10-15,Borno,Rice (imported),1285.7142857142858
2018-10-15,Borno,Rice (local),879.4285714285714
2018-10-15,Borno,Tomatoes,70.875
2018-10-15,Borno,Yam,675.0
2018-10-15,Gombe,Yam,797.0
2018-10-15,Jigawa,Yam,317.0
2018-10-15,Kaduna,Maize (yellow),67.87
2018-10-15,Kaduna,Yam,640.0
2018-10-15,Katsina,Yam,262.0
2018-10-15,Kebbi,Yam,393.0
2018-10-15,Lagos,Yam,458.0
2018-10-15,Oyo,Yam,269.0
2018-10-15,Yobe,Beans (white),758.375
2018-10-15,Yobe,Rice (imported),983.3333333333334
2018-10-15,Yobe,Rice (local),687.625
2018-10-15,Yobe,Tomatoes,77.5
2018-10-15,Yobe,Yam,377.0
2018-10-15,Zamfara,Maize (white),87.43
2018-10-15,Zamfara,Rice (local),600.0
2018-10-15,Zamfara,Yam,264.0
2018-11-15,Adamawa,Rice (local),558.0
2018-11-15,Borno,Beans (white),789.7142857142857
2018-11-15,Borno,Rice (imported),1200.0
2018-11-15,Borno,Rice (local),883.8333333333334
2018-11-15,Borno,Tomatoes,98.0
2018-11-15,Borno,Yam,659.4285714285714
2018-11-15,Gombe,Yam,808.0
2018-11-15,Kaduna,Yam,576.0
2018-11-15,Kano,Yam,239.0
2018-11-15,Kebbi,Yam,417.0
2018-11-15,Lagos,Yam,463.0
2018-11-15,Oyo,Yam,236.0
2018-11-15,Yobe,Beans (white),560.0
2018-11-15,Yobe,Maize (yellow),81.48
2018-11-15,Yobe,Rice (imported),1000.0
2018-11-15,Yobe,Rice (local),669.3333333333334
2018-11-15,Yobe,Tomatoes,62.857142857142854
2018-11-15,Yobe,Yam,314.42857142857144
2018-11-15,Zamfara,Maize (white),88.22
2018-11-15,Zamfara,Rice (local),598.0
2018-12-15,Adamawa,Rice (local),486.0
2018-12-15,Borno,Beans (white),859.0
2018-12-15,Borno,Maize (white),103.0
2018-12-15,Borno,Rice (imported),1312.857142857143
2018-12-15,Borno,Rice (local),898.125
2018-12-15,Borno,Tomatoes,89.18333333333334
2018-12-15,Borno,Yam,531.25
2018-12-15,Gombe,Yam,736.0
2018-12-15,Jigawa,Yam,297.0
2018-12-15,Kaduna,Maize (yellow),79.37
2018-12-15,Kaduna,Yam,630.5
2018-12-15,Kano,Yam,375.0
2018-12-15,Katsina,Yam,283.0
2018-12-15,Kebbi,Yam,337.0
2018-12-15,Lagos,Yam,471.0
2018-12-15,Oyo,Yam,286.0
2018-12-15,Yobe,Beans (white),587.25
2018-12-15,Yobe,Rice (imported),908.3333333333334
2018-12-15,Yobe,Rice (local),664.4
2018-12-15,Yobe,Tomatoes,87.5
2018-12-15,Yobe,Yam,299.27272727272725
2018-12-15,Zamfara,Maize (white),88.21
2018-12-15,Zamfara,Rice (local),615.0
2018-12-15,Zamfara,Yam,226.0
2019-01-15,Borno,Beans (white),736.7142857142857
2019-01-15,Borno,Maize (yellow),74.82
2019-01-15,Borno,Rice (imported),1179.6666666666667
2019-01-15,Borno,Rice (local),894.6666666666666
2019-01-15,Borno,Tomatoes,81.38
2019-01-15,Borno,Yam,719.2857142857143
2019-01-15,Gombe,Maize (yellow),88.0
2019-01-15,Gombe,Rice (local),698.0
2019-01-15,Gombe,Yam,787.0
2019-01-15,Jigawa,Maize (white),80.0
2019-01-15,Jigawa,Maize (yellow),86.93
2019-01-15,Jigawa,Rice (imported),615.0
2019-01-15,Jigawa,Yam,339.0
2019-01-15,Kaduna,Maize (white),95.47
2019-01-15,Kaduna,Maize (yellow),84.78
2019-01-15,Kaduna,Rice (imported),751.0
2019-01-15,Kaduna,Rice (local),577.0
2019-01-15,Kaduna,Yam,600.0
2019-01-15,Katsina,Maize (white),85.53
2019-01-15,Katsina,Rice (local),624.0
2019-01-15,Katsina,Yam,368.0
2019-01-15,Kebbi,Maize (white),85.46
2019-01-15,Kebbi,Rice (imported),708.0
2019-01-15,Yobe,Beans (white),604.2
2019-01-15,Yobe,Maize (white),83.67
2019-01-15,Yobe,Maize (yellow),76.07
2019-01-15,Yobe,Rice (imported),921.4285714285714
2019-01-15,Yobe,Rice (local),649.2
2019-01-15,Yobe,Tomatoes,84.28571428571429
2019-01-15,Yobe,Yam,297.1666666666667
2019-02-15,Adamawa,Maize (yellow),67.03
2019-02-15,Adamawa,Rice (imported),840.0
2019-02-15,Adamawa,Rice (local),521.0
2019-02-15,Borno,Beans (white),685.0
2019-02-15,Borno,Maize (white),86.71000000000001
2019-02-15,Borno,Maize (yellow),83.71000000000001
2019-02-15,Borno,Rice (imported),1154.0
2019-02-15,Borno,Rice (local),732.5
2019-02-15,Borno,Tomatoes,58.0
2019-02-15,Borno,Yam,710.6666666666666
2019-02-15,Gombe,Maize (white),86.0
2019-02-15,Gombe,Maize (yellow),86.0
2019-02-15,Jigawa,Maize (white),83.02
2019-02-15,Jigawa,Maize (yellow),85.58
2019-02-15,Jigawa,Rice (local),606.0
2019-02-15,Jigawa,Yam,324.0
2019-02-15,Kaduna,Maize (white),96.08
2019-02-15,Kaduna,Maize (yellow),80.755
2019-02-15,Kaduna,Rice (imported),929.0
2019-02-15,Kaduna,Rice (local),573.0
2019-02-15,Kaduna,Yam,737.0
2019-02-15,Kano,Maize (white),88.11
2019-02-15,Kano,Maize (yellow),91.54
2019-02-15,Kano,Yam,332.0
2019-02-15,Katsina,Maize (white),88.88
2019-02-15,Katsina,Rice (imported),890.0
2019-02-15,Katsina,Yam,571.0
2019-02-15,Kebbi,Maize (white),89.84
2019-02-15,Kebbi,Maize (yellow),89.84
2019-02-15,Kebbi,Rice (imported),703.0
2019-02-15,Oyo,Maize (white),96.83
2019-02-15,Oyo,Rice (imported),812.0
2019-02-15,Oyo,Rice (local),707.0
2019-02-15,Oyo,Yam,348.0
2019-02-15,Yobe,Beans (white),590.3333333333334
2019-02-15,Yobe,Maize (white),78.17500000000001
2019-02-15,Yobe,Maize (yellow),58.34
2019-02-15,Yobe,Rice (imported),905.7
2019-02-15,Yobe,Rice (local),657.0
2019-02-15,Yobe,Tomatoes,76.25
2019-02-15,Yobe,Yam,267.1666666666667
2019-02-15,Zamfara,Maize (white),86.78
2019-02-15,Zamfara,Rice (imported),804.0
2019-03-15,Adamawa,Maize (yellow),71.56
2019-03-15,Adamawa,Rice (imported),840.0
2019-03-15,Adamawa,Rice (local),541.0
2019-03-15,Borno,Beans (white),673.0
2019-03-15,Borno,Maize (white),91.64500000000001
2019-03-15,Borno,Maize (yellow),100.0
2019-03-15,Borno,Rice (imported),1163.6666666666667
2019-03-15,Borno,Rice (local),730.25
2019-03-15,Borno,Tomatoes,74.28571428571429
2019-03-15,Borno,Yam,664.8333333333334
2019-03-15,Gombe,Maize (white),94.0
2019-03-15,Gombe,Maize (yellow),94.0
2019-03-15,Gombe,Rice (local),714.0
2019-03-15,Gombe,Yam,781.0
2019-03-15,Jigawa,Yam,324.0
2019-03-15,Kaduna,Maize (white),89.025
2019-03-15,Kaduna,Maize (yellow),82.935
2019-03-15,Kaduna,Rice (imported),881.5
2019-03-15,Kaduna,Rice (local),643.5
