state,year,month,month_num,date,pms_price
Abia,2016,Jan,1,2016-01-01,129.3
Abia,2017,Mar,3,2017-03-01,150.4
Abia,2017,Apr,4,2017-04-01,149.0
Abia,2017,May,5,2017-05-01,151.9
Abia,2017,Jun,6,2017-06-01,149.7
Abia,2017,Jul,7,2017-07-01,147.0
Abia,2017,Aug,8,2017-08-01,144.7
Abia,2017,Sep,9,2017-09-01,144.5
Abia,2017,Oct,10,2017-10-01,147.86
Abia,2017,Nov,11,2017-11-01,147.5
Abia,2017,Dec,12,2017-12-01,220.4
Abia,2018,Jan,1,2018-01-01,227.5
Abia,2018,Feb,2,2018-02-01,191.13
Abia,2018,Mar,3,2018-03-01,164.5
Abia,2018,Apr,4,2018-04-01,147.55
Abia,2018,May,5,2018-05-01,145.45
Abia,2018,Jun,6,2018-06-01,146.33
Abia,2018,Jul,7,2018-07-01,146.5
Abia,2018,Aug,8,2018-08-01,147.0
Abia,2018,Sep,9,2018-09-01,146.3
Abia,2018,Oct,10,2018-10-01,147.67
Abia,2018,Nov,11,2018-11-01,150.67
Abia,2018,Dec,12,2018-12-01,144.72
Abia,2019,Jan,1,2019-01-01,144.65
Abia,2019,Feb,2,2019-02-01,145.93
Abia,2019,Mar,3,2019-03-01,146.12
Abia,2019,Apr,4,2019-04-01,146.29
Abia,2019,May,5,2019-05-01,145.64
Abia,2021,Sep,9,2021-09-01,172.5
Abia,2021,Oct,10,2021-10-01,170.25
Abia,2021,Dec,12,2021-12-01,166.33
Abia,2022,Jan,1,2022-01-01,177.33
Abia,2022,Feb,2,2022-02-01,178.23
Abia,2022,Mar,3,2022-03-01,210.31
Abia,2022,Apr,4,2022-04-01,195.27
Abia,2022,May,5,2022-05-01,193.2
Abia,2022,Jun,6,2022-06-01,179.67
Abia,2022,Jul,7,2022-07-01,185.73
Abia,2022,Aug,8,2022-08-01,185.0
Abia,2022,Sep,9,2022-09-01,187.33
Abia,2022,Oct,10,2022-10-01,186.56
Abia,2022,Nov,11,2022-11-01,195.22
Abia,2022,Dec,12,2022-12-01,166.33
Abia,2023,Jan,1,2023-01-01,300.69
Abia,2023,Feb,2,2023-02-01,217.15
Abia,2023,Mar,3,2023-03-01,300.54
Abia,2023,Apr,4,2023-04-01,284.29
Abia,2023,May,5,2023-05-01,236.25
Abia,2023,Jun,6,2023-06-01,552.73
Abia,2023,Jul,7,2023-07-01,643.12
Abia,2023,Aug,8,2023-08-01,631.33
Abia,2023,Sep,9,2023-09-01,630.64
Abia,2023,Oct,10,2023-10-01,621.25
Abia,2023,Nov,11,2023-11-01,654.36
Abia,2023,Dec,12,2023-12-01,690.53
Abia,2024,Jan,1,2024-01-01,687.5
Abia,2024,Feb,2,2024-02-01,688.62
Abia,2024,Mar,3,2024-03-01,710.83
Abia,2024,Apr,4,2024-04-01,706.0
Abia,2024,May,5,2024-05-01,770.0
Abia,2024,Jun,6,2024-06-01,794.91
Abia,2024,Jul,7,2024-07-01,797.42
Abia,2024,Aug,8,2024-08-01,887.72
Abia,2024,Sep,9,2024-09-01,1009.0
Abia,2024,Oct,10,2024-10-01,1278.12
Abuja,2021,Sep,9,2021-09-01,164.5
Abuja,2021,Oct,10,2021-10-01,162.8
Abuja,2021,Dec,12,2021-12-01,166.03
Abuja,2022,Jan,1,2022-01-01,164.6
Abuja,2022,Feb,2,2022-02-01,167.5
Abuja,2022,Mar,3,2022-03-01,169.0
Abuja,2022,Apr,4,2022-04-01,165.42
Abuja,2022,May,5,2022-05-01,172.6
Abuja,2022,Jun,6,2022-06-01,170.0
Abuja,2022,Jul,7,2022-07-01,185.5
Abuja,2022,Aug,8,2022-08-01,188.0
Abuja,2022,Sep,9,2022-09-01,188.44
Abuja,2022,Oct,10,2022-10-01,189.0
Abuja,2022,Nov,11,2022-11-01,193.5
Abuja,2022,Dec,12,2022-12-01,164.6
Abuja,2023,Jan,1,2023-01-01,229.0
Abuja,2023,Feb,2,2023-02-01,229.0
Abuja,2023,Mar,3,2023-03-01,222.91
Abuja,2023,Apr,4,2023-04-01,220.45
Abuja,2023,May,5,2023-05-01,195.0
Abuja,2023,Jun,6,2023-06-01,539.14
Abuja,2023,Jul,7,2023-07-01,616.83
Abuja,2023,Aug,8,2023-08-01,617.6
Abuja,2023,Sep,9,2023-09-01,617.78
Abuja,2023,Oct,10,2023-10-01,637.2
Abuja,2023,Nov,11,2023-11-01,640.0
Abuja,2023,Dec,12,2023-12-01,663.33
Abuja,2024,Jan,1,2024-01-01,632.12
Abuja,2024,Feb,2,2024-02-01,653.2
Abuja,2024,Mar,3,2024-03-01,695.6
Abuja,2024,Apr,4,2024-04-01,670.0
Abuja,2024,May,5,2024-05-01,662.73
Abuja,2024,Jun,6,2024-06-01,696.0
Abuja,2024,Jul,7,2024-07-01,677.0
Abuja,2024,Aug,8,2024-08-01,705.25
Abuja,2024,Sep,9,2024-09-01,1025.0
Abuja,2024,Oct,10,2024-10-01,1124.61
Adamawa,2016,Jan,1,2016-01-01,93.5
Adamawa,2017,Mar,3,2017-03-01,153.3
Adamawa,2017,Apr,4,2017-04-01,157.0
Adamawa,2017,May,5,2017-05-01,160.0
Adamawa,2017,Jun,6,2017-06-01,162.5
Adamawa,2017,Jul,7,2017-07-01,160.0
Adamawa,2017,Aug,8,2017-08-01,144.0
Adamawa,2017,Sep,9,2017-09-01,143.0
Adamawa,2017,Oct,10,2017-10-01,146.67
Adamawa,2017,Nov,11,2017-11-01,145.0
Adamawa,2017,Dec,12,2017-12-01,170.0
Adamawa,2018,Jan,1,2018-01-01,170.0
Adamawa,2018,Feb,2,2018-02-01,150.0
Adamawa,2018,Mar,3,2018-03-01,173.0
Adamawa,2018,Apr,4,2018-04-01,160.33
Adamawa,2018,May,5,2018-05-01,150.11
Adamawa,2018,Jun,6,2018-06-01,145.0
Adamawa,2018,Jul,7,2018-07-01,145.29
Adamawa,2018,Aug,8,2018-08-01,148.33
Adamawa,2018,Sep,9,2018-09-01,150.0
Adamawa,2018,Oct,10,2018-10-01,150.83
Adamawa,2018,Nov,11,2018-11-01,149.33
Adamawa,2018,Dec,12,2018-12-01,145.0
Adamawa,2019,Jan,1,2019-01-01,145.0
Adamawa,2019,Feb,2,2019-02-01,143.78
Adamawa,2019,Mar,3,2019-03-01,145.14
Adamawa,2019,Apr,4,2019-04-01,146.6
Adamawa,2019,May,5,2019-05-01,145.44
Adamawa,2021,Sep,9,2021-09-01,166.4
Adamawa,2021,Oct,10,2021-10-01,167.08
Adamawa,2021,Dec,12,2021-12-01,165.65
Adamawa,2022,Jan,1,2022-01-01,159.89
Adamawa,2022,Feb,2,2022-02-01,169.0
Adamawa,2022,Mar,3,2022-03-01,176.62
Adamawa,2022,Apr,4,2022-04-01,165.29
Adamawa,2022,May,5,2022-05-01,166.4
Adamawa,2022,Jun,6,2022-06-01,190.67
